,0,1,2,3,4
0,12880824.217444517,18030730.95900894,22827391.539757326,31250000.83127748,23769132.323251504
1,12880837.36655167,18030749.365516175,22827414.84225263,31250032.73091148,23769156.58661216
2,12880850.522237234,18030767.779982693,22827438.1524113,31250064.63791968,23769180.85682669
3,12880863.690920422,18030786.20882873,22827461.47665986,31250096.558730923,23769205.1403298
4,12880876.879023276,18030804.658475883,22827484.821426265,31250128.499772552,23769229.443556186
5,12880890.092964875,18030823.13534426,22827508.19313691,31250160.467474747,23769253.77293901
6,12880903.339165673,18030841.645856775,22827531.598218188,31250192.468264747,23769278.134912845
7,12880916.624046033,18030860.19643339,22827555.043097828,31250224.508571155,23769302.535910755
8,12880929.954026224,18030878.793493968,22827578.53420063,31250256.594822537,23769326.98236719
9,12880943.335526425,18030897.443459734,22827602.07795421,31250288.73344593,23769351.480713673
10,12880956.7749667,18030916.152751833,22827625.68078611,31250320.93087123,23769376.03738599
11,12880970.27876554,18030934.927789852,22827649.349120893,31250353.193523895,23769400.658818427
12,12880983.85334278,18030953.774994746,22827673.08938452,31250385.527835123,23769425.351440884
13,12880997.505118119,18030972.700787343,22827696.9080043,31250417.940231707,23769450.12169042
14,12881011.24051255,18030991.711586915,22827720.811407465,31250450.43714035,23769474.975998264
15,12881025.065942591,18031010.81381406,22827744.806018278,31250483.024989154,23769499.920798473
16,12881038.987828946,18031030.013887815,22827768.8982638,31250515.710207567,23769524.9625236
17,12881053.012590704,18031049.31822852,22827793.094569553,31250548.499220654,23769550.107607573
18,12881067.14664534,18031068.733256403,22827817.401360963,31250581.398457713,23769575.362482827
19,12881081.396411598,18031088.265390083,22827841.825063385,31250614.41434655,23769600.733584613
20,12881095.768309474,18031107.92104949,22827866.37210349,31250647.553313408,23769626.227342352
21,12881110.268754436,18031127.70665295,22827891.04890642,31250680.82178738,23769651.850191165
22,12881124.904166086,18031147.628621534,22827915.861897215,31250714.2261931,23769677.608564667
23,12881139.680962361,18031167.693371788,22827940.81750223,31250747.772959467,23769703.508893523
24,12881154.605560992,18031187.907324456,22827965.922146298,31250781.46851386,23769729.557611197
25,12881169.684378017,18031208.27689575,22827991.18225267,31250815.31928066,23769755.761151128
26,12881184.923830692,18031228.80850605,22828016.604248825,31250849.331689943,23769782.125943758
27,12881200.33033602,18031249.50857265,22828042.19455777,31250883.51216736,23769808.65842525
28,12881215.910309307,18031270.383514084,22828067.959603872,31250917.867139917,23769835.365024462
29,12881231.67016994,18031291.439747274,22828093.905814234,31250952.403033055,23769862.25217598
30,12881247.616331235,18031312.68369035,22828120.03961148,31250987.12627503,23769889.3263114
31,12881263.755210564,18031334.26187118,22828146.516857337,31251022.194296967,23769916.658404313
32,12881280.631846745,18031356.77357798,22828174.090714894,31251058.644497067,23769945.11419322
