,0,1,2,3,4
0,20283727.320837818,20283727.32083782,20283727.32083782,20283727.32083782,20283727.32083782
1,20359242.814316005,20323079.621730886,20301343.78779833,20294090.00731963,20290463.71276535
2,20370984.54595866,20329124.09912583,20303969.40534764,20295583.977935817,20291409.517400898
3,20384612.39031213,20336124.450946197,20307001.838624496,20297303.616961543,20292491.406649187
4,20400433.551288433,20344233.615529317,20310505.32535104,20299284.322058108,20293730.7317448
5,20418806.983337417,20353629.479647234,20314554.35980264,20301567.09184889,20295152.16754229
6,20440152.7245273,20364519.09624225,20319235.36488787,20304199.417074773,20296784.246975277
7,20464963.118969217,20377143.68608127,20324648.63979671,20307236.331969287,20298659.9834128
8,20493816.400219414,20391784.546528123,20330910.639253445,20310741.625890236,20300817.583336193
9,20527393.215876404,20408770.108083565,20338156.656403225,20314789.27267065,20303301.29041402
10,20566496.879226033,20428484.337674472,20346543.94723844,20319465.07313099,20306162.346889164
11,20612078.38506678,20451376.841432873,20356255.44118443,20324868.601884197,20309460.13074686
12,20665267.563101437,20477975.039063767,20367504.084466882,20331115.4614227,20313263.469443455
13,20727412.260881614,20508898.92486422,20380538.000408735,20338339.944211014,20317652.173186272
14,20800128.142685626,20544879.09572986,20395646.599774092,20346698.13877595,20322718.827003032
15,20885362.764877286,20586778.916663717,20413167.86411079,20356371.59941648,20328570.88772129
16,20985479.091994766,20635621.982315607,20433497.05050312,20367571.666999985,20335333.13473617
17,21103365.99676313,20692626.486315746,20457097.14093885,20380544.58395295,20343150.548313096
18,21242586.924803518,20759248.610051353,20484511.476116784,20395577.555959146,20352191.690784484
19,21407583.65416135,20837237.99750017,20516379.076858457,20413005.971819628,20362652.68843507
20,21603961.539063375,20928709.482186377,20553453.389788076,20433222.045740005,20374761.93746631
21,21838898.601595,21036237.21641496,20596625.37267456,20456685.17819309,20388785.68032691
22,22121748.70495356,21162980.079057317,20646952.153280593,20483934.480249505,20405034.62426165
23,22464960.15666695,21312851.73976584,20705692.952864833,20515603.972151637,20423871.84896766
24,22885529.22645885,21490755.849449556,20774354.578322314,20552441.165145423,20445722.2694216
25,23407408.443630572,21702918.683673486,20854749.68449391,20595329.947251957,20471084.048589077
26,24065729.38051301,21957371.807653658,20949072.36572704,20645318.980071858,20500542.394353863
27,24914756.736011628,22264673.52191471,21059997.643662497,20703657.3020066,20534786.3847716
28,26044344.667014085,22639025.3413846,21190814.491949566,20771839.38684111,20574629.601834852
29,27618675.306897584,23100072.919808447,21345606.96442801,20851662.845212955,20621035.646538652
30,29986649.37181463,23675960.93184522,21529505.81234265,20945303.261950206,20675149.954193324
31,33082480.46558341,24408849.89039373,21749046.226462394,21055412.65138301,20738339.881264184
32,36449901.266923666,25365712.429059353,22012690.038880523,21185251.068513963,20812245.728031877
33,40130859.20849525,26661855.92032199,22331611.768382948,21338865.708698753,20898846.493673
34,44004925.68821218,28520585.120738354,22720925.257885497,21521339.609938398,21000545.76880603
35,47904722.34858474,31251130.84704296,23201682.34057689,21739145.061032884,21120285.637548655
36,51817205.772647135,34138275.38269219,23804305.677616805,22000659.16170577,21261700.285633184
37,55735672.66842845,37119779.94264474,24574887.064020764,22316939.345936004,21429327.14627171
38,59656615.296163194,40157339.25416776,25587772.87396062,22702932.69040996,21628903.466145553
39,63578197.55367513,43228101.25965975,26973787.490312293,23179444.558696765,21867793.228234656
40,67499484.04871109,46318460.32093524,28855207.773222767,23776516.289729662,22155619.438917212
41,71420034.47723466,49420242.6057323,30862711.190623723,24539614.364623666,22505232.16056239
42,75339683.08396381,52528484.88922653,32960753.74368262,25541977.740891654,22934250.088989142
43,79258415.60458367,55640150.5296424,35122446.845192365,26909555.460606646,23467635.015792165
44,83176299.29687287,58753378.74474897,37328352.28355164,28384213.542519845,24142251.34210497
45,87093442.69303817,61867037.72915381,39564741.2039425,29944046.952287104,25015567.44788982
46,91009972.35299592,64980453.43058374,41822014.04570462,31570130.455527138,26050090.76436347
47,94926019.55195615,68093241.86656795,44093476.771617875,33246954.80544932,27161222.638392683
48,98841712.79940619,71205203.72054599,46374457.561012834,34962237.16235129,28337348.534153514
49,102757173.83842123,74316257.1592424,48661689.40834623,36706455.18627514,29567678.3246365
50,106672515.70842826,77426394.49965183,50952884.031805135,38472319.34037728,30842624.525753964
51,110587842.02943815,80535654.02465376,53246438.54907566,40254287.886876084,32153935.490029927
52,114503246.99264762,83644101.54672083,55541232.91809858,42048161.85136217,33494668.251623634
