,0,1,2,3,4
0,1188457.4058761792,2376913.9804748804,5942283.704270984,11884566.577264491,23769132.323251504
1,1188458.6200706416,2376916.407808007,5942289.770942766,11884578.709455902,23769156.586492676
2,1188459.84072929,2376918.841676275,5942295.84420408,11884590.84823817,23769180.856351655
3,1188461.074290811,2376921.2885164786,5942301.930491207,11884603.000047114,23769205.13926315
4,1188462.3271880557,2376923.75476247,5942308.03623748,11884615.171317035,23769229.44165896
5,1188463.6058581634,2376926.2468509385,5942314.167879076,11884627.368482193,23769253.769975144
6,1188464.916733878,2376928.771214182,5942320.331850662,11884639.59797679,23769278.13064482
7,1188466.2662507812,2376931.3342887787,5942326.534583964,11884651.866233528,23769302.530102514
8,1188467.6608429458,2376933.942509803,5942332.782516434,11884664.17968649,23769326.974779774
9,1188469.1069472732,2376936.6023093746,5942339.082081127,11884676.544772616,23769351.471111033
10,1188470.6109977,2376939.3201253363,5942345.439712485,11884688.967921535,23769376.025532056
11,1188472.1794280873,2376942.1023896737,5942351.861844885,11884701.455571502,23769400.644472815
12,1188473.818672213,2376944.955538643,5942358.354912644,11884714.014152035,23769425.334370427
13,1188475.627177626,2376948.0442910385,5942365.282181268,11884727.334281968,23769451.448884428
14,1188477.7001181492,2376951.5099825724,5942372.923077991,11884741.928406047,23769479.958977565
15,1188480.0910482425,2376955.416111216,5942381.370676768,11884757.938725263,23769511.105202593
16,1188482.8669322422,2376959.8404703736,5942390.734959621,11884775.528652154,23769545.15796307
17,1188486.111823264,2376964.878917024,5942401.146813607,11884794.887193682,23769582.42264577
18,1188489.9315790527,2376970.650183059,5942412.76309282,11884816.23441494,23769623.24591716
19,1188494.4599351776,2376977.3020308698,5942425.773054328,11884839.828326713,23769668.02351126
20,1188499.8662525965,2376985.019151416,5942440.406554213,11884865.973562947,23769717.209882896
21,1188506.087100379,2376994.033299845,5942456.944499122,11884895.032353258,23769771.330247797
22,1188513.0831365974,2377004.6362949647,5942475.732196652,11884927.438442918,23769830.995666206
23,1188520.984542713,2377017.1967097446,5942497.19643545,11884963.71478081,23769896.921988484
24,1188529.9392783786,2377032.181234543,5942521.867347849,11885004.496039925,23769969.953739196
25,1188540.1165452814,2377049.549435673,5942550.406452463,11885050.557340229,23770051.0943395
26,1188551.7105804288,2377069.0713528395,5942583.642620826,11885102.850956537,23770141.544401888
27,1188564.9449171054,2377091.110147826,5942622.618307404,11885162.553264307,23770242.75041484
28,1188580.077208079,2377116.0782159194,5942668.648747426,11885231.12490247,23770356.466734733
29,1188597.404784292,2377144.4469157965,5942723.397795442,11885310.387925131,23770484.83467034
30,1188617.271017351,2377176.757185641,5942788.758702817,11885402.62489232,23770630.483570002
31,1188640.0726888552,2377213.6314164144,5942862.061120437,11885510.706300762,23770796.6601915
32,1188666.2684772427,2377255.7869589105,5942944.667955613,11885638.253057275,23770987.394554712
33,1188696.3888060385,2377304.051570527,5943038.120759997,11885789.84587926,23771207.71285435
34,1188731.0472136266,2377359.381196144,5943144.177322956,11885971.296052389,23771463.91122095
35,1188770.9535355626,2377422.88048963,5943264.851967893,11886175.676778926,23771763.90824464
