,0,1,2,3,4
0,20283727.320837818,20283727.32083782,20283727.32083782,20283727.32083782,20283727.32083782
1,20359242.814316005,20323079.620254014,20301343.78779833,20294090.00731963,20290463.71276535
2,20370984.54595866,20329124.097358022,20303969.40534764,20295583.977935817,20291409.517400898
3,20384612.39031213,20336124.447599396,20307001.838624496,20297303.616961543,20292491.406649187
4,20400433.551288433,20344233.612305634,20310505.32535102,20299284.322058108,20293730.7317448
5,20418806.983337417,20353629.475326326,20314554.35980263,20301567.09184889,20295152.16754229
6,20440152.7245273,20364519.092605386,20319235.364887852,20304199.417074773,20296784.246975277
7,20464963.118969217,20377143.68200074,20324648.639796693,20307236.331969287,20298659.9834128
8,20493816.400219414,20391784.54241457,20330910.639253426,20310741.625890236,20300817.583336193
9,20527393.215876404,20408770.10145775,20338156.656403203,20314789.27267065,20303301.29041402
10,20566496.879226033,20428484.33057726,20346543.947238404,20319465.07313099,20306162.346889164
11,20612078.38506678,20451376.834522367,20356255.441184413,20324868.601884197,20309460.13074686
12,20665267.563101437,20477975.03015365,20367504.084466867,20331115.4614227,20313263.469443455
13,20727412.260881614,20508898.914864082,20380538.000408716,20338339.944211014,20317652.173186272
14,20800128.142685626,20544879.084233545,20395646.599774078,20346698.13877595,20322718.827003032
15,20885362.764877286,20586778.901982617,20413167.864110775,20356371.59941648,20328570.88772129
16,20985479.091994766,20635621.96595863,20433497.0505031,20367571.666999985,20335333.13473617
17,21103365.99676313,20692626.465644125,20457097.140938826,20380544.58395295,20343150.548313096
18,21242586.924803518,20759248.587221496,20484511.476116747,20395577.555959146,20352191.690784484
19,21407583.65416135,20837237.970672026,20516379.07685842,20413005.971819628,20362652.68843507
20,21603961.539063375,20928709.4500724,20553453.38978804,20433222.045740005,20374761.93746631
21,21838898.601595,21036237.178426486,20596625.37267452,20456685.17819309,20388785.68032691
22,22121748.70495356,21162980.035501134,20646952.153280515,20483934.480249505,20405034.62426165
23,22464960.15666695,21312851.68767448,20705692.952864755,20515603.972151637,20423871.84896766
24,22885529.22645885,21490755.78739525,20774354.57832222,20552441.165145423,20445722.2694216
25,23407408.443630572,21702918.609346762,20854749.684493802,20595329.947251957,20471084.048589077
26,24065729.38051301,21957371.718653243,20949072.365726914,20645318.980071858,20500542.394353863
27,24914756.736011628,22264673.413987525,21059997.643662333,20703657.3020066,20534786.3847716
28,26044344.667014085,22639025.208835233,21190814.491949365,20771839.38684111,20574629.601834852
29,27618675.306897584,23100072.755653206,21345606.96442775,20851662.845212955,20621035.646538652
30,29986649.37181463,23675960.725834966,21529505.81234235,20945303.261950206,20675149.954193324
31,33574286.181537956,24408849.62581088,21749046.226462048,21055412.65138301,20738339.881264184
32,37326137.666404866,25365712.076725625,22012690.038880125,21185251.068513963,20812245.728031877
33,41159917.336114295,26661855.432915173,22331611.768382434,21338865.708698753,20898846.493673
34,45035054.64740355,28520584.3964176,22720925.25788487,21521339.609938398,21000545.76880603
35,48931441.13455772,31251130.069191907,23201682.34057612,21739145.061032884,21120285.637548655
36,52838786.16561267,34138274.56978959,23804305.677615803,22000659.16170577,21261700.285633184
37,56751659.23139429,37119779.11088242,24574887.064019434,22316939.345936004,21429327.14627171
38,60667137.028462745,40157338.407817796,25587772.87395879,22702932.69040996,21628903.466145553
39,64583638.766680144,43228100.406258136,26973787.490309734,23179444.558696765,21867793.228234656
40,68500324.03534164,46318459.4627844,28855207.77322001,23776516.289729662,22155619.438917212
41,72416769.28537701,49420241.744008824,30862711.1906208,24539614.364623666,22505232.16056239
42,76332788.3426729,52528484.02650917,32960753.743679583,25541977.740891654,22934250.088989142
43,80248330.22740267,55640149.6658369,35122446.84518924,26909555.460606646,23467635.015792165
44,84163419.86700849,58753377.879383706,37328352.28354846,28384213.542519845,24142251.34210497
45,88078123.20862792,61867036.863936886,39564741.2039393,29944046.952287104,25015567.44788982
46,91992526.58121009,64980452.566195205,41822014.045701325,31570130.455527138,26050090.76436347
47,95906724.48416035,68093241.00102355,44093476.771614544,33246954.80544932,27161222.638392683
