,0,1,2,3,4
0,19171428.75683979,19171428.756839793,19171428.75683979,19171428.75683979,19171428.756839793
1,19246776.7506337,19210615.203588508,19188880.16816521,19181624.996607456,19177997.52024204
2,19258500.739643257,19216641.97680773,19191487.484265845,19183099.214247573,19178920.90662206
3,19272110.845959548,19223622.902316965,19194499.39221717,19184796.717316307,19179977.86814632
4,19287914.882110287,19231710.810626436,19197979.81481028,19186752.543252535,19181189.347807318
5,19306272.701968692,19241083.507863276,19202002.89784406,19189007.27571123,19182579.55604345
6,19327605.6503964,19251948.016548675,19206654.664405815,19191607.934816923,19184176.495721538
7,19352407.95448889,19264545.607154954,19212034.970720027,19194609.009738505,19186012.565230675
8,19381260.52741289,19279157.751241695,19218259.775954437,19198073.672361385,19188125.274506796
9,19414847.820115134,19296113.236600768,19225463.818797536,19202075.179420214,19190558.059340507
10,19453978.517562114,19315796.659752127,19233803.752979442,19206698.520712867,19193361.234500736
11,19499611.18899069,19338658.646613322,19243461.84863439,19212042.33566119,19196593.108999882
12,19552886.339393694,19365228.193950128,19254650.350473963,19218221.162841808,19200321.276802246
13,19615166.882645518,19396127.682835527,19267616.644288443,19225368.08072063,19204624.129809164
14,19688089.800714258,19432091.242842525,19282649.39976063,19233637.796706196,19209592.615196373
15,19773632.928036887,19473987.39027448,19300085.878701538,19243210.306463096,19215332.305513375
16,19874202.469024766,19522847.20195977,19320320.705363933,19254295.182079278,19221965.80703391
17,19992749.49915965,19579899.638924908,19343816.401263393,19267136.6844429,19229635.59796475
18,20132927.743687663,19646616.394781165,19371116.14245975,19282019.80449687,19238507.360250253
19,20299311.48202764,19724769.409088846,19402859.27567748,19299277.48289053,19248773.908013094
20,20497703.264884982,19816505.66505775,19439800.34570741,19319299.243693594,19260659.837244324
21,20735579.588984955,19924445.8409992,19482832.573900636,19342541.589452777,19274427.02173874
22,21022755.63686142,20051816.58414283,19533017.122316238,19369540.553442076,19290381.164985668
23,21372411.414957643,20202631.10940388,19591619.88145656,19400926.99945253,19308879.62932015
24,21802741.90470963,20381940.95010807,19660158.22895434,19437445.33088633,19330340.804165512
25,22339745.64051747,20596195.17987341,19740461.18509217,19479976.61171054,19355255.434051786
26,23022236.584684893,20853767.09134253,19834747.814944036,19529567.338711813,19384200.32330732
27,23911590.82877429,21165750.893261794,19945730.951848123,19587465.591807198,19417855.081818566
28,25112799.68149745,21547212.365961537,20076756.723324496,19655166.97104345,19457022.700160924
29,26827193.266920537,22019241.122678146,20231995.76796853,19734473.636094734,19502655.036915213
30,29518179.576113895,22612506.305418264,20416710.89486192,19827571.187198393,19555884.68903279
31,33044764.276584316,23373852.462229505,20637640.885426853,19937130.29564197,19618065.230774384
32,36696634.65370293,24379671.233943414,20903566.33869387,20066443.267156187,19690822.593504548
33,40409862.15863553,25766492.121001642,21226171.317760587,20219610.97800672,19776121.495701816
34,44153732.16453226,27814426.927541908,21621406.637069926,20401804.20817048,19876352.51678849
35,47913151.39140287,30506611.38297242,22111748.524999473,20619637.828586172,19994448.042801373
36,51680429.13000943,33327776.742635775,22730159.054533064,20881721.508036744,20134039.33078297
37,55451530.78979008,36225133.49346659,23527546.71363704,21199496.704370674,20299673.510296915
38,59224307.73221041,39167128.21098818,24588205.511942517,21588557.8429373,20497120.157177072
39,62997620.22600472,42135240.33247384,26066178.315956905,22070835.178325474,20733815.54848787
40,66770883.15387715,45118549.807732046,27924731.703924537,22678409.226994004,21019525.732211605
41,70543821.61559455,48110543.44895935,29894151.240160696,23460665.364586752,21367370.981697284
42,74316335.35898842,51107294.53839751,31941935.493664153,24499015.590345684,21795475.05243638
43,78088421.77333641,54106421.550310865,34044125.62561576,25849704.30108556,22329756.392399322
44,81860131.3917556,57106482.64497603,36183713.877181344,27298917.716958903,23008954.74941956
45,85631541.90864494,60106616.30590503,38348842.43222789,28825550.39692396,23894433.818320118
46,89402742.98546867,63106323.68833537,40531298.73923276,30411765.32591044,24912702.202252697
47,93173827.41604352,66105334.310384326,42725398.77020082,32043196.06928148,26003034.69789631
48,96944886.10373634,69103521.812736,44927201.111494586,33708619.4032239,27153991.48637455
49,100716005.3345706,72100850.40785879,47133966.36570533,35399428.62987481,28355113.023179926
50,104487265.42243145,75097340.48555896,49343788.02591861,37109092.85757761,29597229.737960313
51,108258740.18904021,78093046.3446858,51555340.235929176,38832683.141443074,30872539.310008515
52,112030496.9265224,81088041.7237616,53767704.55231031,40566488.057269156,32174540.50006979
53,115802596.63876134,84082410.40495922,55980250.09003227,42307714.49219165,33497893.88124557
54,119575094.4206359,87076240.14218235,58192549.96738202,44054259.96340373,34838256.57253064
55,123348039.92347896,90069618.77904588,60404322.56064173,45804541.40788393,36192118.44301489
56,127121477.82213527,93062631.8329577,62615389.90183042,47557367.08271861,37556653.4908269
57,130895448.29196315,96055361.04634093,64825647.992961206,49311840.84517768,38929591.64963753
58,134669987.4509311,99047883.57633413,67035045.49586844,51067290.52653583,40309111.593592525
59,138445127.77147728,102040271.61635314,69243568.3680908,52823214.19370284,41693752.84108906
60,142220898.46295583,105032592.29020724,71451228.70498413,54579239.65922909,43082344.530860335
61,145997325.82127455,108024907.72347659,73658056.65059875,56335093.8786498,44473948.15779521
62,149774433.5287042,111017275.238143,75864094.49187914,58090579.70118485,45867811.72133246
63,153552242.93602142,114009747.58771776,78069392.36178133,59845558.1326364,47263333.07411532
64,157330773.3155244,117002373.25397833,80274005.11130214,61599934.759806514,48660030.63890662
65,161110042.07716966,119995196.73366323,82477990.0500021,63353649.316976406,50057520.01502722
66,164890064.96539885,122988258.84641783,84681405.31276307,65106667.62909766,51455495.234074615
67,168670856.2369469,125981597.01537928,86884308.69690582,66858975.39311538,52853713.74265452
68,172452428.81332102,128975245.55315909,89086756.84386744,68610573.34756899,54251984.32533247
69,176234794.421818,131969235.9193003,91288804.69329074,70361473.51594654,55650157.37720408
70,180017963.7206233,134963596.9587949,93490505.09955762,72111696.29917428,57048117.05777088
71,183801946.39997497,137958355.13550046,95691908.6157411,73861268.19458364,58445774.92955979
72,187586751.28787678,140953534.7341719,97893063.36119543,75610220.03347751,59843064.80470415
73,191372386.4347233,143949158.0518716,100094014.97534622,77358585.59967817,61239938.55142846
74,195158859.1875496,146945245.5746288,102294806.61946547,79106400.57193844,62636362.683495834
75,198946176.2593308,149941816.13163042,104495479.01925942,80853701.68621737,64032315.57005832
76,202734343.79786485,152938887.04417673,106696070.53654075,82600526.10890119,65427785.1590568
77,206523367.4296027,155936474.25397384,108896617.2551471,84346910.94734605,66822767.10726523
78,210313252.31806105,158934592.44660753,111097153.07685846,86092892.88234147,68217263.25633325
79,214104003.20266935,161933255.1551102,113297709.83168617,87838507.89108191,69611280.37205492
80,217895624.43914968,164932474.86739114,115498317.3847481,89583791.0482367,71004829.11670235
81,221688120.04059228,167932263.10669932,117699003.73978706,91328776.37684892,72397923.2017357
82,225481493.69789127,170932630.51840654,119899795.15681748,93073496.75204444,73790578.68991919
83,229275748.82075885,173933586.94330126,122100716.24839957,94817983.84147349,75182813.42512922
84,233070888.5546968,176935141.48606497,124301790.08242072,96562268.05871202,76574646.56797744
85,236866915.8110926,179937302.5760307,126503038.28073032,98306378.55793536,77966098.20022716
86,240663833.28099808,182940078.0205437,128704481.10931192,100050343.23304029,79357189.02348045
87,244461643.4596876,185943475.06041077,130906137.56378676,101794188.73322226,80747940.09743965
88,248260348.6632065,188947500.4133974,133108025.45937844,103537940.4840606,82138372.62754294
89,252059951.04049104,191952160.31568748,135310161.49695435,105281622.72249255,83528507.8038582
90,255860452.59068882,194957460.56399176,137512561.34469956,107025258.53094693,84918366.65992317
91,259661855.1775643,197963406.54632047,139715239.70355177,108768869.87925431,86307969.97129995
92,263464160.53297037,200970003.27630684,141918210.36740783,110512477.66364451,87697338.15877804
93,267267370.27851605,203977255.4253284,144121486.29051366,112256101.75467741,89086491.23621672
94,271071485.9248863,206985167.34234962,146325079.6343311,113999761.03381969,90475448.74802901
95,274876508.8869632,209993743.0871452,148529001.8255195,115743473.44657832,91864229.73531333
96,278682440.49210685,213002986.44478127,150733263.60472858,117487256.0401155,93252852.7097164
97,282489281.98421407,216012900.9501767,152937875.0652119,119231125.0047106,94641335.63468178
98,286297034.526224,219023489.9071206,155142845.70405182,120975095.720229,96029695.90936023
99,290105699.22007674,222034756.40698805,157348184.45241427,122719182.793592,97417950.36856963
100,293915277.0963975,225046703.33760712,159553899.71661255,124463400.09377357,98806115.28005546
101,297725769.1300738,228059333.40990132,161759999.41578218,126207760.79805455,100194206.34619243
102,301537176.23997015,231072649.1587526,163966491.0035108,127952277.4171148,101582238.71361358
103,305349499.2948675,234086652.96361437,166173381.50829577,129696961.84060806,102970226.97884092
104,309162739.11804247,237101347.05728868,168380677.55058286,131441825.35869801,104358185.2012548
105,312976896.48588485,240116733.53434938,170588385.3802577,133186878.70103346,105746126.91207352
106,316791972.1412076,243132814.3677628,172796510.88797325,134932132.0633467,107134065.13290535
107,320607966.7855056,246149591.40668336,175005059.6357569,136677595.1348554,108522012.3874674
108,324424881.0856775,249167066.39667434,177214036.8752037,138423277.12477392,109909980.71505994
109,328242715.6817536,252185240.9790677,179423447.56463987,140169186.79364252,111297981.68823852
110,332061471.182193,255204116.7003784,181633296.3922149,141915332.46548456,112686026.4236089
111,335881148.16446894,258223695.01968703,183843587.7896713,143661722.0620908,114074125.60865329
112,339701747.1882963,261243977.31527805,186054325.94381028,145408363.11910522,115462289.50208485
113,343523268.7858266,264264964.88589594,188265514.8216156,147155262.80739984,116850527.96009828
114,347345713.4673149,267286658.96130088,190477158.17160547,148902427.9476116,118238850.44731075
