,0,1,2,3,4
0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0
2,2.0,2.0,2.0,2.0,2.0
3,3.0,3.0,3.0,3.0,3.0
4,4.0,4.0,4.0,4.0,4.0
5,5.0,5.0,5.0,5.0,5.0
6,6.0,6.0,6.0,6.0,6.0
7,7.0,7.0,7.0,7.0,7.0
8,8.0,8.0,8.0,8.0,8.0
9,9.0,9.0,9.0,9.0,9.0
10,10.0,10.0,10.0,10.0,10.0
11,11.0,11.0,11.0,11.0,11.000874819030438
12,12.086708520762109,12.092115865765857,12.095922927234536,12.096927446984727,12.100589187326833
13,13.280745322146297,13.29208869252992,13.300075331152073,13.302182159376551,13.308905057085811
14,14.592715968599924,14.610573834381734,14.62314782251293,14.626463827861642,14.63654883107081
15,16.03427611667363,16.05928054729867,16.07688770131264,16.081529476643464,16.09530673118189
16,17.618236380151675,17.65107672385421,17.6742036504004,17.680298108040496,17.698129623631353
17,19.358678057701148,19.400104245698973,19.429280898508107,19.436965760961076,19.45924824767913
18,21.18028398023925,21.321906121551745,21.357707939857345,21.36713204202192,21.39429989330222
19,23.019617551922103,23.433566746655078,23.476616027654494,23.48793930500729,23.520467683285695
20,24.88863523849748,25.753866828388322,25.804832811801933,25.818225788134615,25.856633739044184
21,26.797252148461222,28.303454786781305,28.363051673797653,28.378694173178992,28.423547649564334
22,28.75406759801413,30.88700503939096,31.174018533498465,31.192097211326445,31.244011822557027
23,30.766818314116225,33.50250797134446,34.26273817656737,34.2834422751368,34.34308548068529
24,32.842676211034124,36.16562115688291,37.65670249697829,37.680216954593476,37.74830927959862
25,34.98845273944698,38.889567684482905,41.386143493176355,41.412638132499204,41.48995277670243
26,37.210744671231,41.68598856581163,45.45259255348979,45.513927371179534,45.60128728154245
27,39.516041902078925,44.565486167401176,49.54466939136287,50.02061594815347,50.11888698636585
28,41.910809934594155,47.53798757160778,53.69195795800274,54.97288353559916,55.08296173144444
29,44.40155511555155,50.61299786263411,57.918435093424954,60.414935388462425,60.53772533621523
30,46.99487794105796,53.79978347951402,62.24451179326184,66.17282850315132,66.5318041702929
31,49.697518029925675,57.10750973351944,66.68827606866122,71.98164716704885,73.11869161422031
32,52.51639327295227,60.545347533395386,71.26629255007124,77.8802740404521,80.35725536452625
33,55.4586349534834,64.12255903834684,75.99414148982763,83.9007664720163,88.31230631094195
34,58.53162016230393,67.84856871795175,80.88679737504482,90.07080111720764,96.47445292721856
35,61.74300251334057,71.73302426667402,85.95890512490013,96.41519119120613,104.7294579265767
36,65.10074195415368,75.78585051608506,91.2249889437955,102.95687858932727,113.12844789628431
37,68.61313432437522,80.0172986344186,96.69961588356271,109.71761243905217,121.71431851199567
38,72.28884122563042,84.43799233805264,102.39752846936739,116.71843230792614,130.52464200885458
39,76.13692071509865,89.05897246459402,108.33375603792025,123.98002553584499,139.5935076990672
40,80.1668593136431,93.89174101177873,114.52371148035608,131.5230012997006,148.9527462969526
41,84.38860582365548,98.94830559249787,120.98327818543622,139.3681085501544,158.6327806077336
42,88.81260747908826,104.24122517021853,127.72889074499234,147.53641571754022,168.66324071777453
43,93.44984900011174,109.78365790634699,134.77761217835754,156.0494643909342,179.0734262009362
44,98.31189519853848,115.58941196332846,142.14720991426015,164.92940558387662,189.8926667174775
45,103.41093788016767,121.67300016055032,149.856232450434,174.19912489948527,201.15061421867978
46,108.75984792060711,128.04969947388216,157.9240884396668,183.8823614260863,212.87748901235477
47,114.3722335577198,134.73561650634204,166.37112989407933,194.00382425258618,225.10429515632222
48,120.2625061544375,141.74776024205642,175.21874123917343,204.58930992199092,237.86301636539505
49,126.44595495064412,149.10412363646626,184.4894360777252,215.6658238396517,251.1868008990832
50,132.9388326557187,156.82377590400964,194.20696374084397,227.26170855946228,265.1101421924434
51,139.75845415195474,164.92696775576323,204.39642801611376,239.40678195317014,279.66906097504204
52,146.92331110682375,173.4352523343523,215.08442086389218,252.13248851123498,294.9012940984285
53,154.45320595981983,182.37162521916756,226.29917448291332,265.47206742924317,310.84649514748475
54,162.36940959853194,191.76068766777874,238.07073579409337,279.4607417157303,327.5464520848603
55,170.6948481237392,201.62883826765207,250.43116831622405,294.13593334223975,345.0453276466495
56,179.45432549931377,212.00449946055457,263.4147875621524,309.5375104857613,363.38992897641765
57,188.67479069145458,222.9183870577489,277.0584375606004,325.7080742458979,382.630014083982
58,198.38566026398408,234.40383300650535,291.40181800355265,342.693293934967,402.8186442011465
59,208.61921050866337,246.4971744618344,306.48787396342334,360.54230224910594,424.01259306453204
60,219.41105732947838,259.23822589053907,322.3632632979498,379.3081644829938,446.27282670808887
61,230.80074766527312,272.6708558102772,339.0789210130384,399.04843965678685,469.6650706652896
62,242.8324938030282,286.8436963047149,356.69074533310925,419.8258562672533,494.26048579948736
63,255.55609235436737,301.8110223231106,375.26043752833516,441.70913175515517,520.1364796278959
64,269.0280842118821,317.6338499463211,394.85653737620714,464.77397326149463,547.377687437512
65,283.3132324043127,334.38131973823545,415.55570951989415,489.1043086322315,576.0771673546593
66,298.48642442943185,352.1324552102776,437.44435444582234,514.7938120918903,606.3378667428077
67,314.6351491039824,370.9784207149389,460.62064361311445,541.9478102565777,638.2744351927889
68,331.8627629016353,391.02545311712686,485.19711489781696,570.685683756645,672.0154838779117
69,350.29285986300675,412.39871599945064,511.3040173563278,601.1439215743794,707.7064250605426
70,370.0752140972991,435.24743815740817,539.0936719139339,633.4800452789681,745.5130734174076
71,391.394012633212,459.75187378523424,568.746230809236,667.8777081300001,785.6262593045391
