,0,1,2,3,4
0,22641149.48330808,22641149.48330808,22641149.48330808,22641149.48330808,22641149.48330808
1,22717024.182665803,22680844.62821729,22659113.447428152,22651864.886693716,22648241.376031805
2,22728804.22519716,22686925.319747645,22661777.68398689,22653401.157109078,22649235.64986645
3,22742471.247880198,22693965.50411613,22664853.435729206,22655168.173245233,22650371.348229207
4,22758331.506881624,22702118.40027029,22668405.60435161,22657202.10496979,22651670.70811818
5,22776742.50981385,22711562.12456387,22672509.436660063,22659544.83340533,22653159.409025148
6,22798122.145939633,22722503.891179733,22677252.21081714,22662244.86523314,22654867.12791198
7,22822959.622925457,22735184.94923343,22682735.18602318,22665358.397591133,22656828.192040853
8,22851828.653184243,22749886.429023564,22689075.900786195,22668950.561074115,22659082.31727121
9,22885403.421413396,22766936.28059192,22696410.85281466,22673096.8560088,22661675.479346782
10,22924478.06101553,22786717.539905313,22704898.639847152,22677884.84573108,22664660.91848141
11,22969990.561032392,22809678.214005988,22714723.661826797,22683416.116986156,22668100.312907428
12,23023052.371448144,22836343.156688042,22726100.46603695,22689808.57708257,22672065.141541023
13,23084985.361195624,22867328.412016105,22739278.89152647,22697199.153320298,22676638.2708304
14,23157368.426526085,22903358.647055294,22754550.140518967,22705746.93458008,22681915.814761993
15,23242096.932339445,22945288.476053637,22772254.018077824,22715636.89751775,22688009.29388894
16,23341459.43607053,22994128.723589573,22792787.53771229,22727084.257193148,22695048.179212905
17,23458238.09862408,23051079.082114596,22816615.23853063,22740339.640772756,22703182.85527786
18,23595842.118587308,23117569.052377068,22844281.60200914,22755695.181785677,22712588.113024548
19,23758488.11158363,23195309.8426805,22876426.067951925,22773491.785701137,22723467.256059013
20,23951448.726788364,23286360.899175208,22913801.30845809,22794127.78697246,22736056.938468985
21,24181402.880936217,23393216.316655487,22957295.626507185,22818069.30635153,22750632.902388576
22,24456941.65494931,23518918.695799492,23007960.617660914,22845862.739926644,22767516.76511887
23,24789320.48682189,23667211.594777253,23067045.62216128,22878149.85123845,22787084.121723626
24,25193616.008232698,23842747.38438872,23136041.050309222,22915686.161050413,22809774.22610476
25,25690578.163087226,24051376.52715167,23216733.45484705,22959363.48298247,22836101.617043935
26,26309743.18819095,24300559.59154649,23311276.3696278,23010237.772185057,22866670.165376265
27,27094990.708173454,24599970.03498502,23422282.652290504,23069563.82992525,22902190.13205562
28,28115256.110895216,24962403.790122364,23552946.647880144,23138838.969296113,22943499.030718185
29,29487395.202865027,25405202.948868208,23707208.5204403,23219858.547519933,22991587.32026874
30,31432464.510812208,25952583.77015281,23889979.49008947,23314787.448160686,23047630.322102536
31,34447791.60034678,26639652.649179656,24107457.119965855,23426253.34006216,23113028.22722315
32,37986087.44622878,27519815.030449163,24367577.466003,23557470.137562387,23189456.774139464
33,41841738.52567258,28679687.072640628,24680681.75022531,23712404.26383642,23278932.178039245
34,45971683.22196236,30272868.847418677,25060531.713113252,23896002.74095635,23383895.393040292
35,50145585.9619173,32610691.100411966,25525916.42907906,24114512.906025864,23507323.04922092
36,54342088.67068578,35595671.33785848,26103315.208072007,24375941.54462321,23652875.86173164
37,58550043.83116164,38725839.21307712,26831568.669552095,24690733.014450837,23825100.77853529
38,62763497.89006814,41944857.7965941,27770682.99873571,25072804.115588482,24029711.991488904
39,66979231.30090098,45217651.353401035,29020064.748549577,25541185.769631382,24273990.693631437
40,71195509.78499416,48522853.94622239,30761523.970876303,26122751.9040077,24567369.123111546
41,75411426.16411057,51847454.583362505,32829153.30241245,26857024.52253833,24922310.52791714
42,79626541.51283017,55183469.25822913,35015681.856335126,27805275.73027448,25355684.072682865
43,83840683.81191532,58525957.3168563,37288059.53268239,29069507.586803548,25891008.547552966
44,88053832.4078441,61871845.14816276,39621369.407931075,30583204.417408004,26562313.79857762
45,92266050.57160105,65219221.53859836,41997482.869691096,32199420.7751601,27421244.293405224
46,96477445.72629935,68566908.86251718,44403449.57960626,33897175.45937798,28489007.942023035
47,100688145.89486068,71914197.61454076,46830091.70187724,35658593.21826438,29641994.070808563
48,104898285.84152551,75260679.32753144,49270919.35380645,37469079.20621206,30868411.996477794
49,109107999.03073741,78606139.8543087,51721340.87974145,39317043.147864886,32156972.947146054
50,113317413.14807183,81950490.31633656,54178103.18580278,41193440.422467306,33497386.113475442
51,117526647.77454598,85293721.96039033,56638899.45495417,43091286.714281045,34880597.48516911
52,121735813.37331362,88635876.40439221,59102094.84244751,45005220.332817964,36298843.062172666
